year,date,match_id,home_team,away_team,p_home_win,p_draw,p_away_win,predicted_class
2010,2010-07-03,59,Paraguay,Spain,0.15000631958227398,0.2344812084889052,0.6155124719288209,away_win
2010,2010-07-06,60,Uruguay,Netherlands,0.24471021824016842,0.3112176014301538,0.44407218032967777,away_win
2010,2010-07-07,61,Germany,Spain,0.25869017068474975,0.30411457109109846,0.4371952582241518,away_win
2010,2010-07-10,62,Uruguay,Germany,0.19833604104804808,0.3048395080191117,0.4968244509328402,away_win
2010,2010-07-11,63,Netherlands,Spain,0.273771733045578,0.3058496117591858,0.4203786551952362,away_win
2014,2014-06-12,0,Brazil,Croatia,0.7742505015861205,0.13777844505177106,0.08797105336210836,home_win
2014,2014-06-13,1,Chile,Australia,0.6167563520331821,0.23601177769846718,0.1472318702683507,home_win
2014,2014-06-13,2,Mexico,Cameroon,0.561926594943902,0.28510206512954733,0.15297133992655068,home_win
2014,2014-06-13,3,Spain,Netherlands,0.46052553563526966,0.3139726770822305,0.22550178728249987,home_win
2014,2014-06-14,4,Colombia,Greece,0.553860988982857,0.27290932697598175,0.1732296840411613,home_win
2014,2014-06-14,5,England,Italy,0.42361652851104736,0.3246423006057739,0.2517411708831787,home_win
2014,2014-06-14,6,Ivory Coast,Japan,0.4062356948852539,0.24917387962341309,0.344590425491333,home_win
2014,2014-06-14,7,Uruguay,Costa Rica,0.5427174053001017,0.26117819936839043,0.19610439533150786,home_win
2014,2014-06-15,8,Argentina,Bosnia and Herzegovina,0.7338766729040694,0.17840539583583906,0.08771793126009149,home_win
2014,2014-06-15,9,France,Honduras,0.6397630667651156,0.20885704768981112,0.15137988554507323,home_win
2014,2014-06-15,10,Switzerland,Ecuador,0.3210131323639492,0.31209627723980776,0.36689059039624305,away_win
2014,2014-06-16,11,Germany,Portugal,0.5531738914076404,0.22746064920037018,0.21936545939198943,home_win
2014,2014-06-16,12,Ghana,United States,0.31297544577644604,0.3018625468570753,0.38516200736647865,away_win
2014,2014-06-16,13,Iran,Nigeria,0.3643939603684533,0.2924751428507311,0.3431308967808156,home_win
2014,2014-06-17,14,Belgium,Algeria,0.5525416300458201,0.2682567616777647,0.17920160827641513,home_win
2014,2014-06-17,15,Brazil,Mexico,0.6781813603368604,0.19930060504824826,0.12251803461489133,home_win
2014,2014-06-17,16,Russia,South Korea,0.5915206670761108,0.25298014283180237,0.1554991900920868,home_win
2014,2014-06-18,17,Australia,Netherlands,0.16815915703773499,0.20818206667900085,0.6236587762832642,away_win
2014,2014-06-18,18,Cameroon,Croatia,0.30470573902130127,0.2859856188297272,0.40930864214897156,away_win
2014,2014-06-18,19,Spain,Chile,0.5550205276912608,0.25702057054700167,0.18795890176173752,home_win
2014,2014-06-19,20,Colombia,Ivory Coast,0.4965239765331759,0.26972268404229377,0.2337533394245303,home_win
2014,2014-06-19,21,Japan,Greece,0.43546085516188393,0.23969986616223452,0.3248392786758816,home_win
2014,2014-06-19,22,Uruguay,England,0.3355576197969204,0.31239903904196736,0.35204334116111224,away_win
2014,2014-06-20,23,Honduras,Ecuador,0.2782729781188673,0.2702902176889712,0.4514368041921614,away_win
2014,2014-06-20,24,Italy,Costa Rica,0.5274759688221207,0.2741232596076506,0.19840077157022867,home_win
2014,2014-06-20,25,Switzerland,France,0.27972291587131715,0.2878465824035753,0.43243050172510755,away_win
2014,2014-06-21,26,Argentina,Iran,0.6450921297073364,0.21296878159046173,0.14193908870220184,home_win
2014,2014-06-21,27,Germany,Ghana,0.7700661420822144,0.12822657823562622,0.10170727968215942,home_win
2014,2014-06-21,28,Nigeria,Bosnia and Herzegovina,0.34904115351911924,0.261789403504449,0.38916944297643175,away_win
2014,2014-06-22,29,Belgium,Russia,0.33835095167160034,0.30841633677482605,0.3532327115535736,away_win
2014,2014-06-22,30,South Korea,Algeria,0.4226376414299011,0.2568797469139099,0.32048261165618896,home_win
